urun_ismi,img_url,ilac_sirketi,barkod,recete_tipi,etken_madde,dsf,kamu_odenen,fiyat_farki,psf
Fuarte Neo 360 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/a5f05001-8ed8-4422-b94b-0eaf593c68cf.jpg,Abdi İbrahim,8699514095026,Kısıtlanmış Beyaz Reçete,Deferasiroks - 360 mg,"3176,53 TL","3645,37 TL",-,"5063,02 TL"
Fuarte Neo 180 mg 30 Film Kaplı Tablet,https://cdn.farmazonrx.com.tr/Products/Images/eebe3a47-a9a0-4d5d-93e4-e05bda3d14bb.jpg,Abdi İbrahim,8699514095019,Kısıtlanmış Beyaz Reçete,Deferasiroks - 180 mg,"2141,78 TL","2476,10 TL",-,"3439,03 TL"
SMA Premature 70 ml 32 Adet,,Nestle,8690632994406,Beyaz Reçete,Vitamin C - 11 mg/70 ml,"1258,80 TL",Ödenmez,-,"1500,07 TL"
Resource 2.0 Fibre Orman Meyveleri Aromalı 190 ml,https://cdn.farmazonrx.com.tr/Products/Images/efb69f00-34ca-466a-9fbc-56ed693e3a4b.jpeg,Nestle,8690632991900,Beyaz Reçete,Vitamin C - 17 mg/100 ml,"46,38 TL","59,36 TL",-,"59,36 TL"
Genbutrol 15 mmol/15 ml Enjeksiyonluk Çözelti İçeren Flakon 15 ml 1 Adet,https://cdn.farmazonrx.com.tr/Products/Images/b2b17ed9-f89d-495a-95a7-528d7630e657.jpg,Gen İlaç,8699783770303,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","1414,57 TL","1654,36 TL",-,"2297,72 TL"
Gadonans 30 mmol/30 ml Enjeksiyonluk Çözelti 30 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/14b18b9c-bee6-43f0-8e8a-f089b82efd7d.jpg,Biem,8699702774122,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","2732,75 TL","3133,81 TL",-,"5311,55 TL"
Gadonans 15 mmol/15 ml Enjeksiyonluk Çözelti 15 ml 1 Flakon,https://cdn.farmazonrx.com.tr/Products/Images/f402784d-e104-4130-8d70-0bf2eb61e8b6.jpg,Biem,8699702774115,Beyaz Reçete,"Gadobutrol - 604,72 mg/ml","1341,56 TL","1571,85 TL",-,"2183,13 TL"
Peptamen Junior Muz Aromalı 200 ml 24 Adet,https://cdn.farmazonrx.com.tr/Products/Images/ea0e684d-dd05-4e19-95a2-2551cae48cfd.jpg,Nestle,8690632248448,Beyaz Reçete,,"2432,00 TL","2793,96 TL",-,"4735,53 TL"
Resource 2.0 Fibre Çilek Aromalı 190 ml,https://cdn.farmazonrx.com.tr/Products/Images/b4f96db2-8f40-40a9-a814-05340f8020f7.jpg,Nestle,8690632991894,Beyaz Reçete,Vitamin C - 17 mg/100 ml,"51,08 TL","65,30 TL","0,09 TL","73,47 TL"
Milupa Basic-CH 300 gr,https://cdn.farmazonrx.com.tr/Products/Images/cdc1708f-4d22-489f-bd60-ed69cb7e3c2b.jpg,Numil,8699745023164,Beyaz Reçete,Vitamin C - 7 mg/100 ml,"979,79 TL","1176,26 TL",-,"1321,64 TL"
Peptamen Junior Vanilya Aromalı 200 ml 24 Adet,https://cdn.farmazonrx.com.tr/Products/Images/ea0e684d-dd05-4e19-95a2-2551cae48cfd.jpg,Nestle,8690632247366,Beyaz Reçete,,"2432,00 TL","2793,96 TL",-,"4735,53 TL"
Aptamil Pregomin Syneo 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/4748f9fc-691e-4aef-85dc-2206d3d364c1.jpg,Numil,8699745020453,Beyaz Reçete,,"758,07 TL","925,72 TL",-,"1040,13 TL"
Milupa Basic-P 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/0d525f84-00f8-464a-add4-c2b0bff6c6f1.jpg,Numil,8699745023188,Beyaz Reçete,Vitamin C - 6 mg/100 ml,"1161,72 TL","1381,84 TL",-,"1552,63 TL"
Milupa Basic-CAD 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/331e8d13-8bb8-44f0-be96-46f7af904c39.jpg,Numil,8699745023195,Beyaz Reçete,Vitamin C - 5 mg/100 ml,"771,78 TL","941,20 TL",-,"1057,53 TL"
Milupa Basic-F 300 gr,https://cdn.farmazonrx.com.tr/Products/Images/0697aaf4-228d-471b-9f56-6352d26e8ed3.jpg,Numil,8699745023171,Beyaz Reçete,Vitamin C - 6 mg/100 ml,"369,83 TL","471,08 TL",-,"529,30 TL"
Resource Junior Fibre Vanilya Aromalı 190 ml,https://cdn.farmazonrx.com.tr/Products/Images/831211af-bc84-4e9d-a555-3bc7cfed2feb.jpg,Nestle,8690632991795,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"46,04 TL","58,92 TL",-,"58,92 TL"
Resource Junior Fibre Muz Aromalı 190 ml,https://cdn.farmazonrx.com.tr/Products/Images/a9acdf59-c5b2-46dc-9b99-f5d40b823dbf.jpg,Nestle,8690632991818,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"46,04 TL","58,92 TL",-,"58,92 TL"
Resource Junior Fibre Çikolata Aromalı 190 ml,https://cdn.farmazonrx.com.tr/Products/Images/10706849-a0a6-4448-9e1f-b8f4fcdbdb73.jpg,Nestle,8690632991825,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"46,04 TL","58,92 TL",-,"58,92 TL"
Isosource Junior Mix 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/0144069f-1ea0-4423-81b4-e2324049b43e.jpg,Nestle,8690632247359,Beyaz Reçete,,"66,25 TL","84,81 TL",-,"122,91 TL"
Resource Junior Fibre Çilek Aromalı 190 ml,https://cdn.farmazonrx.com.tr/Products/Images/f4bd909c-fbde-4dfb-9408-a685387d17a2.jpg,Nestle,8690632991801,Beyaz Reçete,Vitamin C - 11 mg/100 ml,"42,76 TL","54,74 TL",-,"61,50 TL"
Resource 2.0 Fibre Vanilya Aromalı 190 ml,https://cdn.farmazonrx.com.tr/Products/Images/24597625-fb3d-4c9f-bde3-29fe6867b1df.jpg,Nestle,8690632991870,Beyaz Reçete,Vitamin C - 17 mg/100 ml,"46,38 TL","59,36 TL",-,"59,36 TL"
Nutrivigor Çilek Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/3471436d-2a79-4478-b80b-7e575afe0e99.jpg,Abbott,8699548995088,Beyaz Reçete,Vitamin C - 16 mg/100 ml,"92,28 TL","118,12 TL",-,"171,19 TL"
Infasource 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/6f324bb6-b1cf-41f9-a6ef-a06559f84465.jpg,Nestle,8690632244792,Beyaz Reçete,Vitamin C - 20 mg/100 ml,"51,69 TL","66,16 TL",-,"74,34 TL"
Pediasure Plus Fiber Kakao Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/6e0fddca-906e-499d-9921-89bcaa47bc67.jpg,Abbott,8699548995231,Beyaz Reçete,"Vitamin C - 7,5 mg/100 ml","92,28 TL","118,12 TL",-,"171,19 TL"
PKU Gel Ahududu Aromalı 24 gr 30 Saşe,https://cdn.farmazonrx.com.tr/Products/Images/f4c73faf-5425-4820-8af5-05d1bc666ac8.jpg,Nestle,8690632760728,Beyaz Reçete,,"3538,55 TL","4067,65 TL",-,"4570,39 TL"
Milupa PKU 3 Advanta 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/06960069-d0e3-44e5-880b-0d2e4f18db90.jpg,Numil,8699745018917,Beyaz Reçete,,"2925,90 TL","3375,35 TL",-,"3792,53 TL"
"Vital 1,5 Kcal Vanilya Aromalı 200 ml",https://cdn.farmazonrx.com.tr/Products/Images/2c1d6c3d-ad17-4b3a-af9b-9573766560a1.jpg,Abbott,8699548995170,Beyaz Reçete,Vitamin C - 18 mg/100 ml,"86,51 TL","110,73 TL",-,"160,48 TL"
Milupa OS 2 Prima 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/4b65979e-09aa-4697-a697-707d7155d796.jpg,Numil,8699745014711,Beyaz Reçete,,"5486,74 TL","6269,10 TL",-,"7043,93 TL"
Milupa GA 2 Prima 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/3a0247c7-83e6-4dd7-ab83-a48674b5947c.jpg,Numil,8699745014759,Beyaz Reçete,,"6677,00 TL","7614,09 TL",-,"8555,16 TL"
TYR Gel 24 gr 30 Saşe,,Nestle,8690632760773,Beyaz Reçete,,"5964,62 TL","6809,11 TL",-,"7650,69 TL"
Milupa UCD 2 Secunda 500 gr,,Numil,8699745014674,Beyaz Reçete,,"3002,07 TL","3461,44 TL",-,"3889,26 TL"
Milupa UCD 2 Prima 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/2bc0d9dc-2c04-4951-8143-2199615f917e.jpg,Numil,8699745014728,Beyaz Reçete,,"3062,42 TL","3529,62 TL",-,"3965,87 TL"
Milupa MSUD 2 Prima 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/b3e2d373-3f90-44c7-a1d5-c6d9bc8b7272.jpg,Numil,8699745014681,Beyaz Reçete,,"5504,90 TL","6289,62 TL",-,"7066,99 TL"
Milupa LEU 2 Prima 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/0147a4a8-4c1b-41c6-a9b1-1d9df12eb4fd.jpg,Numil,8699745014742,Beyaz Reçete,,"3099,21 TL","3571,21 TL",-,"4012,59 TL"
Milupa HOM 2 Prima 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/beb6acb4-455e-48c8-b24f-633674d8f138.jpg,Numil,8699745014704,Beyaz Reçete,,"5380,14 TL","6148,66 TL",-,"6908,61 TL"
Neocate Junior Vanilya Aromalı 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/e07adc95-9c2c-44ca-8b1c-82924d5507bb.jpg,Numil,8699745015121,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"870,51 TL","1047,42 TL","5,34 TL","1182,88 TL"
Neocate Junior Çilek Aromalı 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/ce1518d3-95d8-46a4-ab6b-27694ce0fb0a.jpg,Numil,8699745015107,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"870,51 TL","1047,42 TL","5,34 TL","1182,88 TL"
Neocate Junior 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/6bd63db6-437b-4828-9b65-5b8b365f0848.jpg,Numil,8699745015114,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"781,52 TL","952,20 TL",-,"1069,89 TL"
Milupa TYR 2 Prima 500 gr,,Numil,8699745014698,Beyaz Reçete,,"6676,11 TL","7613,10 TL",-,"8554,05 TL"
"PKU Lophlex LQ 10 Kırmızı Meyveler Aromalı 62,5 ml 60 Adet",,Numil,8699745014841,Beyaz Reçete,,"5299,80 TL","6057,87 TL",-,"6806,59 TL"
Evolvia Premature 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/5d623dfe-0cc5-46af-b7c8-13652f043fc5.jpg,Montero,8680835000073,Beyaz Reçete,"Vitamin C - 24,6 mg/100 ml","632,71 TL",Ödenmez,-,"785,57 TL"
Evolvia AR 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/99ae6df8-473b-4fa7-8ba2-17f2e5bd33b5.jpg,Montero,8680835000080,Beyaz Reçete,"Vitamin C - 9,5 mg/100 ml","613,97 TL",Ödenmez,-,"763,44 TL"
Ensure Compact Muz Aromalı 125 ml 4 Adet,https://cdn.farmazonrx.com.tr/Products/Images/247b9876-267c-4256-a807-e6172213208a.jpg,Abbott,8699548994715,Beyaz Reçete,Vitamin C - 21 mg/100 ml,"204,82 TL","262,18 TL",-,"444,37 TL"
MSUD Gel 24 gr 30 Saşe,,Nestle,8690632760797,Beyaz Reçete,Vitamin C - 15 mg/poşet,"6090,96 TL","6951,88 TL",-,"7811,10 TL"
Alfamino 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/f50c636c-d89a-476c-b7c2-7bd94dc0d01c.jpg,Nestle,8690632991597,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"825,13 TL","1001,49 TL",-,"1125,27 TL"
Milupa TYR 2 Secunda 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/e9c677a8-03f6-4231-948f-1b28410b36d2.jpg,Numil,8699745018931,Beyaz Reçete,,"4799,72 TL","5492,78 TL",-,"6171,66 TL"
Milupa OS 2 Secunda 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/0b8aac59-0500-4ea9-9c78-fb2a6e7651d4.jpg,Numil,8699745018948,Beyaz Reçete,,"2912,07 TL","3359,73 TL",-,"3774,98 TL"
Milupa HOM 2 Secunda 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/670ddbda-5be3-48c0-ad3d-f9bb3b4eac31.jpg,Numil,8699745018955,Beyaz Reçete,,"4052,70 TL","4648,64 TL",-,"5223,19 TL"
Fortimel Compact Fibre Vanilya Aromalı 125 ml 4 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f6e6cca2-0514-4c0e-839e-cca18e0ff00e.jpg,Numil,8699745011895,Beyaz Reçete,Vitamin C - 24 mg/100 ml,"160,00 TL","204,79 TL",-,"347,11 TL"
Ensure Compact Vanilya Aromalı 125 ml 4 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f1bcb744-d3c8-453a-896e-03b86500fb15.jpg,Abbott,8699548994708,Beyaz Reçete,Vitamin C - 21 mg/100 ml,"204,82 TL","262,18 TL",-,"444,37 TL"
Ensure Compact Çilek Aromalı 125 ml 4 Adet,https://cdn.farmazonrx.com.tr/Products/Images/4eed7122-a1e2-4ad6-b82c-872afffb3a91.jpg,Abbott,8699548994722,Beyaz Reçete,Vitamin C - 21 mg/100 ml,"204,82 TL","262,18 TL",-,"444,37 TL"
Fortimel Compact Fibre Kahve Aromalı 125 ml 4 Adet,https://cdn.farmazonrx.com.tr/Products/Images/20c2a1f4-9e93-40ae-a2e6-a93769e895de.jpg,Numil,8699745011871,Beyaz Reçete,Vitamin C - 24 mg/100 ml,"160,00 TL","204,79 TL",-,"347,11 TL"
Fortimel Compact Fibre Çilek Aromalı 125 ml 4 Adet,https://cdn.farmazonrx.com.tr/Products/Images/b1d027fc-d0ae-4697-bfaf-56f368b39a0f.jpg,Numil,8699745011918,Beyaz Reçete,Vitamin C - 24 mg/100 ml,"160,00 TL","204,79 TL",-,"347,11 TL"
Milupa MSUD 2 Secunda 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/8b8fb38a-0efc-4c3b-894b-f27987723599.jpg,Numil,8699745018924,Beyaz Reçete,,"2912,07 TL","3359,73 TL",-,"3774,98 TL"
PKU Lophlex LQ 20 Turunçgiller Aromalı 125 ml 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/75519132-38d3-4d16-9cde-084212528f2c.jpg,Numil,8699745014490,Beyaz Reçete,,"5290,40 TL","6047,25 TL",-,"6794,66 TL"
PKU Lophlex LQ 20 Kırmızı Meyveler Aromalı 125 ml 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/2db8e706-0ebd-4efd-8b5c-761755701c06.jpg,Numil,8699745014483,Beyaz Reçete,,"5290,40 TL","6047,25 TL",-,"6794,66 TL"
Evolvia AC 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/68d4228c-b981-4c25-beff-92cdf6110136.jpg,Montero,8680835000097,Beyaz Reçete,"Vitamin C - 9,8 mg/100 ml","619,47 TL",Ödenmez,-,"769,94 TL"
Fresubin Yocreme Kayısı-Şeftali Aromalı 125 gr 4 Adet,https://cdn.farmazonrx.com.tr/Products/Images/007e37c4-62cc-487c-9c20-0e49209ea505.jpg,Fresenius Kabi,8699630998218,Beyaz Reçete,,"57,23 TL",Ödenmez,-,"71,54 TL"
PKU Express Portakal Aromalı 25 gr 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/20927142-64fc-411e-80c6-6b310108caff.jpg,Nestle,8690632760698,Beyaz Reçete,,"6584,58 TL",Ödenmez,-,"7518,20 TL"
PKU Express Tropikal 25 gr 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f8699f20-7e0f-4b78-96c9-a976a8c862c2.jpg,Nestle,8690632760704,Beyaz Reçete,,"5860,27 TL","6691,20 TL",-,"7518,20 TL"
PKU Express Limon Aromalı 25 gr 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/f8699f20-7e0f-4b78-96c9-a976a8c862c2.jpg,Nestle,8690632760681,Beyaz Reçete,,"6584,58 TL",Ödenmez,-,"7518,20 TL"
Kimler alım yapabilir?,,,,,,,,,
Milupa PKU Anamix Infant 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/e95cd453-d746-4efe-93a4-f8687ccb9deb.jpg,Numil,8699745010621,Beyaz Reçete,,"758,88 TL","911,10 TL",-,"1320,43 TL"
Ensure 2 Cal Çilek Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/5a3abba2-5e80-4ba2-baff-0689e8576da3.jpg,Abbott,8699548994579,Beyaz Reçete,Vitamin C - 20 mg/100 ml,"75,60 TL","96,76 TL",-,"108,72 TL"
Nutrison Advanced Cubison 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/14ae4060-ef73-41a4-afd4-89f2fc69e61b.jpg,Numil,8699745010577,Beyaz Reçete,Vitamin C - 38 mg/100 ml,"123,94 TL","158,65 TL",-,"268,89 TL"
Glycosade Oral Toz 60 gr 30 Adet,,Nestle,8690632991542,Beyaz Reçete,Amilopektin - 53 g/60 g,"2477,30 TL","2868,44 TL",-,"3222,97 TL"
Milupa MSUD Anamix Infant 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/8edf1b01-7734-4925-8f82-bb285f9a175b.jpg,Numil,8699745010638,Beyaz Reçete,"Vitamin C - 7,4 mg/100 ml","1313,60 TL","1553,47 TL",-,"1745,47 TL"
Nutrini Peptisorb 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/0be61f45-3bfc-4e99-a4d7-50ed4256b7a8.jpg,Numil,8699745010904,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"149,00 TL","190,73 TL",-,"323,27 TL"
Ketocal 4:1 Vanilya Aromalı 300 gr,https://cdn.farmazonrx.com.tr/Products/Images/9121135e-88d9-4264-9213-af84c3cdcf4d.jpg,Numil,8699745010317,Beyaz Reçete,"Vitamin C - 5,7 mg/100 ml","893,29 TL","1055,42 TL","23,08 TL","1211,80 TL"
Ketocal 4:1 300 gr,https://cdn.farmazonrx.com.tr/Products/Images/a22c554f-d460-4212-b3e3-639c2cb6deb8.jpg,Numil,8699745010300,Beyaz Reçete,"Vitamin C - 5,7 mg/100 ml","787,95 TL","959,47 TL",-,"1078,06 TL"
Galactomin 19 Formula 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/c544135c-f87b-454d-a5b0-dd939d9d11ee.jpg,Numil,8699745000264,Beyaz Reçete,,"671,94 TL","827,58 TL",-,"929,86 TL"
Prozero 250 ml 18 Adet,,Nestle,8690632012810,Beyaz Reçete,"Karbonhidratlar - 8,1 g/100 ml","850,42 TL","1030,07 TL",-,"1157,38 TL"
Prozero 1000 ml 6 Adet,,Nestle,8690632012803,Beyaz Reçete,"Karbonhidratlar - 8,1 g/100 ml","1134,41 TL","1350,97 TL",-,"1517,94 TL"
Ensure Plus Vanilya Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/3437f700-e195-4b41-a9c7-4dd418e70dba.jpg,Abbott,8699548994166,Beyaz Reçete,Vitamin C - 12 mg/100 ml,"46,74 TL","59,83 TL",-,"106,84 TL"
Modulen IBD 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/6602cc7b-4f8f-47af-a6df-1d8b4b8c6504.jpg,Nestle,8690632990910,Beyaz Reçete,"Vitamin C - 9,4 mg/100 ml","143,49 TL","183,67 TL",-,"311,30 TL"
Multi-Thick 250 gr,https://cdn.farmazonrx.com.tr/Products/Images/10e355cd-6f0a-4394-bd9e-c435b5e2d11a.jpg,Abbott,8699548993992,Beyaz Reçete,"Karbonhidratlar - 90,91 g/100 g
Protein - 0,38 g/100 g
Sodyum - 160 mg/100 g","147,69 TL","189,04 TL",-,"320,41 TL"
Pediasure Muz Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/ebcad88f-c979-4a37-80d0-d38d7e9b7334.jpg,Abbott,8699548994050,Beyaz Reçete,Vitamin C - 5 mg/100 ml,"47,32 TL","60,57 TL",-,"91,78 TL"
Nutrivigor Muz Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/25f8c1ed-307e-4b4b-a0d7-e3f6d81c188b.jpg,Abbott,8699548994241,Beyaz Reçete,Vitamin C - 16 mg/100 ml,"92,28 TL","118,12 TL",-,"171,19 TL"
Pediasure Plus Fiber Vanilya Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/9c169c2f-1e72-418e-897d-6a4650ea90f3.jpg,Abbott,8699548994142,Beyaz Reçete,"Vitamin C - 7,5 mg/100 ml","92,05 TL","117,82 TL",-,"170,76 TL"
Pediasure Kakao Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/aaf23468-a83f-45b8-a9f5-a62a0d31aaed.jpg,Abbott,8699548994074,Beyaz Reçete,Vitamin C - 5 mg/100 ml,"47,63 TL","60,96 TL",-,"110,83 TL"
Pediasure Çilek Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/8f9a8616-ed24-402c-ab63-be13b557b584.jpg,Abbott,8699548994067,Beyaz Reçete,Vitamin C - 5 mg/100 ml,"47,63 TL","60,96 TL",-,"110,83 TL"
Ensure Plus Muz Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/6ce7b9fa-5ee7-4baa-aeda-46852f303989.jpg,Abbott,8699548994180,Beyaz Reçete,Vitamin C - 12 mg/100 ml,"46,74 TL","59,83 TL",-,"106,84 TL"
Ensure Plus Çilek Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/a9eb83f6-314c-41ce-8560-2f680d8ece72.jpg,Abbott,8699548994173,Beyaz Reçete,Vitamin C - 12 mg/100 ml,"46,74 TL","59,83 TL",-,"106,84 TL"
Pediasure Peptide Vanilya Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/ba0a9d06-5dee-4654-b963-e213504057ed.jpg,Abbott,8699548994272,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"85,59 TL","109,56 TL",-,"171,19 TL"
PKU Lophlex LQ Portakal Aromalı 125 ml 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/2db8e706-0ebd-4efd-8b5c-761755701c06.jpg,Numil,8699745004606,Beyaz Reçete,,"5078,01 TL","5790,94 TL",-,"8516,09 TL"
Pediasure Plus Çilek Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/e45cee04-32ac-418c-ab16-fcdbb6570223.jpg,Abbott,8699548994098,Beyaz Reçete,"Vitamin C - 7,5 mg/100 ml","48,98 TL","62,70 TL",-,"108,10 TL"
Pediasure Plus Vanilya Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/47a2838f-dfdb-44c2-a598-43bf23766fe7.jpg,Abbott,8699548994081,Beyaz Reçete,"Vitamin C - 7,5 mg/100 ml","47,22 TL","60,45 TL",-,"111,94 TL"
Pediasure Plus Muz Aromalı 220 ml,https://cdn.farmazonrx.com.tr/Products/Images/69945296-26f8-41cc-a1e4-26835d48d651.jpg,Abbott,8699548994135,Beyaz Reçete,"Vitamin C - 7,5 mg/100 ml","51,48 TL","65,90 TL",-,"113,62 TL"
Resource Diabet Kahve Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/481efa5c-65b9-4ebe-b0f7-a720aa0465b5.jpg,Nestle,8690632991207,Beyaz Reçete,Vitamin C - 8 mg/100 ml,"79,00 TL","101,12 TL",-,"113,62 TL"
Resource Energy Kayısı Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/87e860d5-65d5-4ea5-8337-c5286cdc3825.jpg,Nestle,8690632990774,Beyaz Reçete,Vitamin C - 15 mg/100 ml,"72,97 TL","93,41 TL",-,"104,95 TL"
Taranis Dalia Düşük Proteinli Likit Süt 200 ml 24 Adet,https://cdn.farmazonrx.com.tr/Products/Images/9adc7189-b052-4405-b1cf-dcaaf2094a8a.jpg,Mamma,8697869420197,Beyaz Reçete,,"1375,86 TL","1623,81 TL",-,"1824,51 TL"
Comida PKU C 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/06960069-d0e3-44e5-880b-0d2e4f18db90.jpg,Mamma,8697869420388,Beyaz Reçete,,"3075,06 TL","3543,90 TL",-,"3981,91 TL"
Ensure 2 Vanilya Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/42a3f3a6-707a-4f14-aa22-89ba185540c1.jpg,Abbott,8699548993893,Beyaz Reçete,Vitamin C - 20 mg/100 ml,"70,35 TL","90,06 TL",-,"111,18 TL"
Ensure 2 Muz Aromalı 200 ml,https://cdn.farmazonrx.com.tr/Products/Images/9ea79ba4-789c-4af2-93dc-1970690cc556.jpg,Abbott,8699548993886,Beyaz Reçete,Vitamin C - 20 mg/100 ml,"70,35 TL","90,06 TL",-,"111,18 TL"
Impact Enteral 500 ml,https://cdn.farmazonrx.com.tr/Products/Images/9eeaf71a-de89-487b-b947-e997a8740004.jpg,Nestle,8690632990019,Beyaz Reçete,"Vitamin C - 6,7 mg/100 ml","148,80 TL","190,47 TL",-,"322,83 TL"
Impact Oral RTD Kahve Aromalı 237 ml,https://cdn.farmazonrx.com.tr/Products/Images/4a84c85d-060c-4100-b862-eb5fb24a5467.jpg,Nestle,8690632990552,Beyaz Reçete,"Çinko - 2,1 mg/100 ml
Karbonhidratlar - 18,86 g/100 ml
Protein - 7,64 g/100 ml","82,15 TL","105,16 TL",-,"152,41 TL"
Abound Portakal Aromalı 24 gr 30 Adet,https://cdn.farmazonrx.com.tr/Products/Images/c6a86be4-1079-486b-9637-3b8ed6bc10bb.jpg,Abbott,8699548993756,Beyaz Reçete,"Karbonhidratlar - 6,5 g
Protein - 14,8 g","2311,15 TL","2657,41 TL",-,"4504,08 TL"
Milupa TYR 1 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/030266e1-16de-4f9f-9cff-a6b4f6ed8ac3.jpg,Numil,8699745019143,Beyaz Reçete,,"3954,90 TL","4538,13 TL",-,"5099,02 TL"
Milupa LEU 1 500 gr,,Numil,8699745019105,Beyaz Reçete,,"5301,42 TL","6059,70 TL",-,"6808,65 TL"
Milupa MSUD 1 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/f76aeb19-ce63-466e-821e-ae38dbcb2796.jpg,Numil,8699745019136,Beyaz Reçete,,"5293,35 TL","6050,58 TL",-,"6798,40 TL"
Lp-Drink 400 gr,https://cdn.farmazonrx.com.tr/Products/Images/bc590546-6763-4dc6-b51c-556dacac05aa.jpg,Numil,8699711000502,Beyaz Reçete,,"1587,60 TL","1863,08 TL",-,"2093,35 TL"
Bebelac Pepti Junior 450 gr,https://cdn.farmazonrx.com.tr/Products/Images/5a518a53-7a86-41ca-a380-b94e4c4f5268.jpg,Numil,8699745000257,Beyaz Reçete,"Vitamin C - 9,3 mg/100 ml","659,87 TL","813,32 TL",-,"913,84 TL"
Milupa OS 1 500 gr,https://cdn.farmazonrx.com.tr/Products/Images/ac3b12dc-ba39-4e86-83e7-2422756f785d.jpg,Numil,8699745019112,Beyaz Reçete,,"2868,52 TL","3310,52 TL",-,"3719,69 TL"
Ensure Kakao Aromalı 250 ml,https://cdn.farmazonrx.com.tr/Products/Images/c8967842-5119-48e3-a19c-b462a989325e.jpg,Abbott,8699548990366,Beyaz Reçete,Vitamin C - 10 mg/100 ml,"69,54 TL","83,51 TL","5,50 TL","100,01 TL"
